company,industry,year,revenue_m,net_income_m,pretax_income_m,income_tax_m,total_expenses_m,total_assets_m,shareholders_equity_m
Zenith Bank,Banking,2021,569907,244402,280374,35816,289533,9447843,1279662
Zenith Bank,Banking,2022,624342,224050,284650,60739,339692,12285629,1378940
Zenith Bank,Banking,2023,1258659,676569,795962,119053,449472,20368455,2323380
Zenith Bank,Banking,2024,2205788,1032711,1326851,293956,843352,29957525,4029273
Zenith Bank,Banking,2025,2319860,1039747,1263370,222824,1039500,31458051,4924206
GTCO,Banking,2021,383765,172107,221498,46658,162267,5436035,883227
GTCO,Banking,2022,412052,166737,214154,44981,197932,6446456,931149
GTCO,Banking,2023,859727,534425,609308,69654,250419,9691225,1477128
GTCO,Banking,2024,1669272,1006220,1266246,248443,403026,14796707,2712018
GTCO,Banking,2025,1706448,853548,1231081,365335,475367,17761152,3411380
UBA,Banking,2021,430131,115883,153073,34395,277058,8541318,804807
UBA,Banking,2022,550656,165451,200876,30599,349780,10857571,922104
UBA,Banking,2023,1349889,598285,757680,149984,592209,20653197,2030195
UBA,Banking,2024,1849901,743121,803726,37158,1046175,30323355,3418639
UBA,Banking,2025,1524519,373654,423400,18704,1097049,33173188,4252942
MTN Nigeria,Telecom,2021,1654299,298654,436687,138033,735664,2262959,264981
MTN Nigeria,Telecom,2022,2012272,351382,518823,170096,860729,2539369,262542
MTN Nigeria,Telecom,2023,2468847,-133841,-177886,-40865,1220411,3188827,-40844
MTN Nigeria,Telecom,2024,3360830,-399448,-550325,-149890,1896575,4196991,-458007
MTN Nigeria,Telecom,2025,5204436,1112846,1696029,583183,2230414,5403489,548712
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,Note: All financial figures are reported in Millions of Nigerian Naria(NGN). Source: StockAnalysis.com,,,,,
